category_id,category_name,description
1,Electronics,"Smartphones, laptops, accessories and gadgets"
2,Fashion,"Clothing, footwear and accessories"
3,Home & Kitchen,"Furniture, appliances and kitchen essentials"
4,Books,"Fiction, non-fiction, educational and children's books"
5,Beauty & Personal Care,"Skincare, cosmetics and grooming products"
6,Sports & Fitness,"Sports equipment, fitness gear and accessories"
7,Toys & Games,"Toys, puzzles, board games and entertainment products"
8,Grocery,"Food items, beverages and daily essentials"
9,Health,"Healthcare products, supplements and wellness items"
10,Automotive,"Vehicle accessories, tools and automotive products"
