inventory_id,product_id,stock_quantity,reorder_level,last_restock_date
1,1,21,20,2026-07-21
2,2,188,20,2026-07-07
3,3,22,10,2026-07-06
4,4,0,10,2026-05-22
5,5,129,15,2026-06-25
6,6,25,20,2026-07-21
7,7,48,10,2026-07-14
8,8,38,20,2026-05-22
9,9,7,10,2026-07-05
10,10,51,15,2026-06-23
11,11,108,10,2026-07-18
12,12,58,10,2026-06-02
13,13,55,10,2026-06-26
14,14,29,15,2026-07-02
15,15,79,15,2026-02-04
16,16,48,20,2026-05-07
17,17,1,20,2026-07-23
18,18,92,25,2026-07-05
19,19,102,15,2026-07-18
20,20,375,10,2026-06-27
21,21,285,10,2026-02-20
22,22,486,10,2026-07-05
23,23,448,15,2026-07-13
24,24,339,15,2026-04-25
25,25,158,20,2026-07-17
26,26,274,10,2026-07-11
27,27,0,20,2026-05-24
28,28,149,25,2026-06-06
29,29,149,15,2026-07-01
30,30,155,25,2026-07-10
31,31,0,25,2026-05-03
32,32,81,10,2026-06-20
33,33,8,20,2026-02-17
34,34,52,20,2026-04-05
35,35,128,30,2026-01-28
36,36,94,15,2026-06-02
37,37,147,15,2026-07-23
38,38,165,15,2026-07-25
39,39,1,10,2026-03-15
40,40,4,10,2026-07-08
41,41,10,15,2026-07-10
42,42,137,10,2026-06-03
43,43,279,25,2026-07-05
44,44,32,10,2026-05-05
45,45,51,10,2026-07-21
46,46,55,15,2026-06-21
47,47,90,10,2026-05-22
48,48,31,25,2026-06-15
49,49,81,10,2026-07-24
50,50,25,30,2026-06-30
51,51,61,15,2026-02-14
52,52,87,10,2026-07-24
53,53,94,10,2026-07-24
54,54,89,25,2026-07-24
55,55,35,25,2026-07-23
56,56,55,15,2026-02-13
57,57,10,15,2026-07-07
58,58,45,25,2026-07-03
59,59,38,15,2026-06-06
60,60,14,10,2026-05-20
61,61,14,15,2026-07-21
62,62,13,25,2026-07-20
63,63,74,20,2026-05-05
64,64,6,20,2026-06-26
65,65,37,10,2026-05-09
66,66,54,10,2026-07-15
67,67,101,25,2026-07-17
68,68,26,10,2026-07-17
69,69,6,20,2026-06-09
70,70,81,15,2026-07-25
71,71,3,15,2026-05-19
72,72,80,10,2026-06-27
73,73,149,25,2026-06-12
74,74,110,10,2026-04-30
75,75,173,20,2026-03-27
76,76,60,25,2026-07-02
77,77,120,20,2026-05-05
78,78,55,20,2026-06-28
79,79,8,10,2026-05-27
80,80,34,10,2026-05-31
81,81,13,30,2026-07-05
82,82,91,30,2026-07-25
83,83,5,10,2026-03-24
84,84,10,15,2026-06-05
85,85,70,10,2026-06-13
86,86,95,15,2026-06-30
87,87,140,15,2026-07-04
88,88,200,20,2026-06-27
89,89,198,20,2026-07-03
90,90,105,10,2026-06-01
91,91,129,15,2026-07-08
92,92,195,10,2026-07-07
93,93,204,15,2026-07-19
94,94,126,20,2026-07-04
95,95,211,10,2026-03-27
96,96,155,20,2026-07-24
97,97,136,15,2026-05-27
98,98,176,15,2026-06-01
99,99,77,10,2026-04-29
100,100,42,20,2026-06-30
101,101,147,15,2026-06-26
102,102,333,10,2026-07-09
103,103,404,10,2026-05-28
104,104,468,25,2026-06-26
105,105,181,20,2026-07-17
106,106,426,10,2026-05-25
107,107,240,15,2026-06-10
108,108,263,25,2026-07-21
109,109,24,20,2026-07-12
110,110,64,15,2026-07-12
111,111,79,25,2026-06-27
112,112,53,15,2026-03-19
113,113,58,15,2026-05-05
114,114,33,15,2026-07-10
115,115,0,10,2026-05-31
116,116,64,25,2026-02-17
117,117,0,15,2026-07-25
118,118,7,10,2026-07-24
119,119,46,10,2026-07-01
120,120,45,20,2026-06-09
121,121,70,10,2026-07-14
