order_id,customer_id,address_id,order_date,order_status,total_amount,order_source,expected_delivery_date,coupon_discount
1,175,242,01-01-2023,Delivered,2292.04,Website,06-01-2023,0
2,781,1064,01-01-2023,Pending,2803.14,Website,07-01-2023,0
3,1144,1552,01-01-2023,Delivered,248.75,Website,05-01-2023,0
4,1520,2051,01-01-2023,Delivered,847.86,Website,03-01-2023,0
5,4110,5550,01-01-2023,Delivered,1247.89,Website,07-01-2023,0
6,4760,6422,01-01-2023,Delivered,13124.52,Mobile App,08-01-2023,0
7,4878,6578,01-01-2023,Delivered,1494.16,Website,03-01-2023,0
8,5067,6839,01-01-2023,Delivered,6416.87,Mobile App,07-01-2023,5
9,5578,7539,01-01-2023,Confirmed,483.47,Website,06-01-2023,0
10,7975,10783,01-01-2023,Delivered,256.96,Website,07-01-2023,0
11,797,1085,02-01-2023,Pending,1308.85,Website,09-01-2023,5
12,913,1235,02-01-2023,Delivered,2505.18,Mobile App,04-01-2023,0
13,2739,3693,02-01-2023,Delivered,5458.35,Mobile App,04-01-2023,0
14,5299,7174,02-01-2023,Delivered,529.67,Website,09-01-2023,0
15,7431,10050,02-01-2023,Delivered,507.68,Website,09-01-2023,0
16,8374,11330,02-01-2023,Delivered,12351.75,Website,09-01-2023,10
17,1079,1455,03-01-2023,Delivered,2444.17,Website,08-01-2023,0
18,2242,3019,03-01-2023,Shipped,321.75,Mobile App,08-01-2023,5
19,3021,4084,03-01-2023,Delivered,2700.62,Website,07-01-2023,10
20,4653,6279,03-01-2023,Delivered,1934.57,Website,09-01-2023,10
21,5079,6853,03-01-2023,Delivered,544.15,Website,05-01-2023,5
22,5649,7645,03-01-2023,Delivered,459.47,Mobile App,10-01-2023,0
23,5803,7844,03-01-2023,Delivered,576.91,Website,08-01-2023,0
24,5995,8108,03-01-2023,Delivered,275.15,Website,10-01-2023,5
25,6857,9266,03-01-2023,Delivered,2205.41,Mobile App,05-01-2023,0
26,7319,9894,03-01-2023,Delivered,6032.98,Mobile App,08-01-2023,0
27,7411,10015,03-01-2023,Delivered,1246.09,Mobile App,05-01-2023,0
28,393,535,04-01-2023,Delivered,9907.84,Website,11-01-2023,0
29,684,926,04-01-2023,Delivered,2146.98,Website,09-01-2023,10
30,1816,2455,04-01-2023,Delivered,9371.46,Website,08-01-2023,0
31,2955,3997,04-01-2023,Delivered,29073.69,Website,10-01-2023,10
32,3283,4425,04-01-2023,Delivered,694.38,Website,08-01-2023,0
33,4553,6144,04-01-2023,Delivered,635.66,Website,11-01-2023,0
34,5252,7117,04-01-2023,Delivered,2317.83,Website,09-01-2023,0
35,5295,7169,04-01-2023,Shipped,2909.05,Mobile App,08-01-2023,0
36,5975,8075,04-01-2023,Delivered,2470.39,Mobile App,08-01-2023,5
37,7127,9625,04-01-2023,Delivered,5636.76,Website,06-01-2023,0
38,368,504,05-01-2023,Delivered,1519.4,Mobile App,08-01-2023,0
39,865,1173,05-01-2023,Delivered,1986.76,Website,08-01-2023,0
40,1301,1763,05-01-2023,Pending,577.02,Mobile App,10-01-2023,0
41,1844,2495,05-01-2023,Delivered,2682.54,Website,09-01-2023,10
42,2713,3652,05-01-2023,Delivered,765.86,Mobile App,09-01-2023,0
43,2842,3841,05-01-2023,Delivered,542.21,Website,12-01-2023,20
44,5620,7604,05-01-2023,Delivered,4683.45,Website,12-01-2023,5
45,5985,8090,05-01-2023,Delivered,4893.74,Website,10-01-2023,0
46,6529,8835,05-01-2023,Delivered,11091.56,Mobile App,07-01-2023,5
47,7561,10223,05-01-2023,Delivered,14467.46,Mobile App,11-01-2023,0
48,8030,10860,05-01-2023,Delivered,389.45,Website,07-01-2023,0
49,8562,11601,05-01-2023,Delivered,1184.54,Mobile App,10-01-2023,20
50,498,677,06-01-2023,Shipped,1946.43,Website,10-01-2023,0
51,1410,1910,06-01-2023,Delivered,2699.55,Mobile App,13-01-2023,0
52,2414,3264,06-01-2023,Delivered,7328.73,Website,13-01-2023,0
53,3422,4605,06-01-2023,Shipped,2350.01,Website,10-01-2023,5
54,3890,5253,06-01-2023,Delivered,744.56,Mobile App,09-01-2023,0
55,5505,7445,06-01-2023,Delivered,5512.71,Website,10-01-2023,0
56,5883,7949,06-01-2023,Delivered,2695.66,Website,10-01-2023,0
57,797,1085,07-01-2023,Delivered,2512.42,Website,09-01-2023,0
58,2084,2815,07-01-2023,Shipped,577.14,Website,09-01-2023,0
