product_id,product_name,category_id,seller_id,brand,stock_keeping_unit,price,cost_price,discount_percentage,description,average_rating,total_reviews,launch_date,is_active
1,Penguin Smart Textbook,4,1,Penguin,BOO-PEN-00001,562.94,433.99,15,"Penguin Textbook designed for quality, durability and everyday use.",4.0,172,2019-03-09,True
2,HarperCollins Eco Dictionary,4,1,HarperCollins,BOO-HAR-00002,1263.73,907.83,15,"HarperCollins Dictionary designed for quality, durability and everyday use.",4.3,170,2025-07-08,True
3,Penguin Elite Dictionary,4,1,Penguin,BOO-PEN-00003,779.46,465.06,40,"Penguin Dictionary designed for quality, durability and everyday use.",4.7,527,2018-04-10,True
4,Pearson Premium Textbook,4,1,Pearson,BOO-PEA-00004,1500.0,1066.3,40,"Pearson Textbook designed for quality, durability and everyday use.",4.7,23,2026-06-20,True
5,Penguin Smart Novel,4,1,Penguin,BOO-PEN-00005,1580.18,1336.15,25,"Penguin Novel designed for quality, durability and everyday use.",4.0,113,2025-07-17,True
6,Lenovo Plus Smartphone,1,2,Lenovo,ELE-LEN-00006,95976.79,68166.74,5,"Lenovo Smartphone designed for quality, durability and everyday use.",4.6,432,2021-03-25,True
7,Samsung Premium Smart Watch,1,2,Samsung,ELE-SAM-00007,121146.78,81210.68,0,"Samsung Smart Watch designed for quality, durability and everyday use.",3.9,94,2024-10-06,True
8,LG Ultra Mouse,1,2,LG,ELE-LG-00008,41202.26,25709.73,10,"LG Mouse designed for quality, durability and everyday use.",4.8,25,2026-04-10,True
9,Dell Classic Mouse,1,2,Dell,ELE-DEL-00009,113855.76,92033.13,0,"Dell Mouse designed for quality, durability and everyday use.",4.9,4,2026-05-06,True
10,Asus Eco Headphones,1,2,Asus,ELE-ASU-00010,129395.4,71613.15,15,"Asus Headphones designed for quality, durability and everyday use.",4.4,236,2024-06-30,True
11,Yonex Advanced Cricket Bat,6,3,Yonex,SPO-YON-00011,595.74,456.71,15,"Yonex Cricket Bat designed for quality, durability and everyday use.",3.7,47,2025-11-05,True
12,Puma Plus Badminton Racket,6,3,Puma,SPO-PUM-00012,6367.88,4216.65,0,"Puma Badminton Racket designed for quality, durability and everyday use.",3.8,366,2023-01-02,True
13,Nike Max Football,6,3,Nike,SPO-NIK-00013,26422.3,21124.62,5,"Nike Football designed for quality, durability and everyday use.",5.0,103,2023-06-11,True
14,Dettol Ultra Vitamin Tablets,9,4,Dettol,HEA-DET-00014,3332.78,2779.72,0,"Dettol Vitamin Tablets designed for quality, durability and everyday use.",4.5,277,2024-03-09,True
15,Dabur Elite Hand Sanitizer,9,4,Dabur,HEA-DAB-00015,4976.23,3707.11,10,"Dabur Hand Sanitizer designed for quality, durability and everyday use.",4.6,165,2021-04-05,True
16,Dettol Plus Vitamin Tablets,9,4,Dettol,HEA-DET-00016,1179.07,673.6,15,"Dettol Vitamin Tablets designed for quality, durability and everyday use.",4.8,58,2024-11-07,True
17,Horlicks Smart First Aid Kit,9,4,Horlicks,HEA-HOR-00017,2742.25,2103.32,25,"Horlicks First Aid Kit designed for quality, durability and everyday use.",4.5,493,2022-08-26,True
18,Himalaya Elite Protein Powder,9,4,Himalaya,HEA-HIM-00018,1836.06,1236.28,25,"Himalaya Protein Powder designed for quality, durability and everyday use.",5.0,91,2023-07-21,True
19,Horlicks Smart Protein Powder,9,4,Horlicks,HEA-HOR-00019,1038.79,738.46,0,"Horlicks Protein Powder designed for quality, durability and everyday use.",4.9,286,2023-06-04,True
20,Tata Eco Rice,8,5,Tata,GRO-TAT-00020,1680.25,1412.58,30,"Tata Rice designed for quality, durability and everyday use.",4.1,326,2022-09-21,True
21,Amul Ultra Rice,8,5,Amul,GRO-AMU-00021,789.0,667.17,5,"Amul Rice designed for quality, durability and everyday use.",4.2,162,2025-05-16,True
22,Amul Smart Atta,8,5,Amul,GRO-AMU-00022,628.58,528.39,10,"Amul Atta designed for quality, durability and everyday use.",4.5,85,2023-04-28,True
23,Nestle Ultra Coffee,8,5,Nestle,GRO-NES-00023,160.92,113.02,25,"Nestle Coffee designed for quality, durability and everyday use.",5.0,573,2018-08-29,True
24,Nestle Plus Atta,8,5,Nestle,GRO-NES-00024,1209.31,889.83,10,"Nestle Atta designed for quality, durability and everyday use.",4.5,92,2024-06-18,True
25,Aashirvaad Pro Atta,8,5,Aashirvaad,GRO-AAS-00025,821.78,617.57,5,"Aashirvaad Atta designed for quality, durability and everyday use.",4.8,64,2023-05-29,True
26,Nestle Classic Rice,8,5,Nestle,GRO-NES-00026,1098.39,770.81,0,"Nestle Rice designed for quality, durability and everyday use.",4.7,538,2018-09-08,True
27,Borosil Pro Storage Box,3,6,Borosil,HMK-BOR-00027,15486.11,13103.88,15,"Borosil Storage Box designed for quality, durability and everyday use.",5.0,278,2024-09-05,True
28,Philips Classic Bottle,3,6,Philips,HMK-PHI-00028,22297.96,17230.19,0,"Philips Bottle designed for quality, durability and everyday use.",4.8,308,2021-12-03,True
