return_id,order_id,order_item_id,customer_id,product_id,seller_id,return_date,days_after_delivery,return_type,return_reason,return_channel,return_status,refund_status,refund_amount,reverse_shipping_cost,pickup_status,pickup_date,quality_check_status,return_condition,replacement_requested,replacement_status
1,1,2,175,457,94,2023-01-17,9,Refund,Wrong Product,Website,Approved,Pending,1656.1,44.05,Scheduled,2023-01-18,Pending,Unused,False,Not Applicable
2,12,26,913,1329,264,2023-01-20,15,Refund,Product Not As Expected,Mobile App,Rejected,Not Applicable,0.0,154.41,Failed,,Pending,Used,False,Not Applicable
3,17,35,1079,627,126,2023-01-10,8,Replacement,Damaged Product,Website,Rejected,Not Applicable,0.0,98.01,Failed,,Pending,Damaged,True,Completed
4,21,44,5079,2051,402,2023-01-28,21,Refund,Changed Mind,Mobile App,Completed,Processing,28107.9,132.69,Completed,2023-01-31,Passed,Opened,False,Not Applicable
5,23,48,5803,2454,481,2023-01-19,11,Refund,Late Delivery,Website,Requested,Processing,2685.34,89.34,Pending,,Pending,Damaged,False,Not Applicable
6,31,62,2955,2209,432,2023-01-14,4,Refund,Product Not As Expected,Website,Approved,Processing,22009.98,109.37,Scheduled,2023-01-17,Pending,Damaged,False,Not Applicable
7,32,65,3283,2361,463,2023-01-28,24,Refund,Quality Issue,Website,Completed,Completed,3370.72,30.49,Completed,2023-01-30,Passed,Damaged,False,Not Applicable
8,46,93,6529,39,9,2023-02-03,24,Refund,Missing Parts,Mobile App,Requested,Processing,8681.06,109.15,Pending,,Pending,Used,False,Not Applicable
9,52,106,2414,379,75,2023-01-09,1,Refund,Damaged Product,Mobile App,Approved,Pending,68402.52,165.81,Pending,,Pending,Unused,False,Not Applicable
10,53,108,3422,181,36,2023-01-19,8,Refund,Late Delivery,Mobile App,Picked Up,Processing,1147.75,58.56,Scheduled,2023-01-21,Pending,Damaged,False,Not Applicable
11,67,138,8808,2078,409,2023-01-26,18,Replacement,Damaged Product,Mobile App,Rejected,Not Applicable,0.0,62.06,Failed,,Pending,Damaged,True,Cancelled
12,68,140,696,1553,307,2023-01-23,13,Refund,Product Not As Expected,Mobile App,Pickup Scheduled,Processing,4693.47,62.66,Scheduled,2023-01-24,Pending,Used,False,Not Applicable
