seller_id,seller_name,seller_email,seller_phone,city,state,specialization_category_id,registration_date,seller_rating,seller_status,is_verified
1,BrightHub,contact@brighthub.com,9896233790,Ahmedabad,Gujarat,4,2018-07-29,4.4,Active,True
2,TechMart,sales@techmart.com,9349817734,Kanpur,Uttar Pradesh,1,2023-05-10,4.8,Active,True
3,UrbanSupplies,support@urbansupplies.com,9398362082,New Delhi,Delhi,6,2020-02-18,4.9,Active,False
4,GalaxyOutlet,hello@galaxyoutlet.com,9234031070,Kolkata,West Bengal,9,2023-01-11,4.3,Active,True
5,FutureMart,sales@futuremart.com,9208449460,Siliguri,West Bengal,8,2023-01-18,4.7,Active,True
6,StarMart,hello@starmart.com,9781802744,New Delhi,Delhi,3,2022-07-07,2.6,Active,True
7,MetroStore,sales@metrostore.com,9982403818,Nagpur,Maharashtra,7,2022-03-09,3.2,Active,True
8,ShreeBazaar,info@shreebazaar.com,9253407200,Ahmedabad,Gujarat,4,2025-07-05,4.8,Active,True
9,RoyalWorld,hello@royalworld.com,9629908599,Bengaluru,Karnataka,2,2018-11-24,3.7,Active,True
10,PremiumPoint,support@premiumpoint.com,9694021782,Mumbai,Maharashtra,9,2026-02-26,4.0,Active,True
11,GalaxyElectronics,hello@galaxyelectronics.com,9918150683,New Delhi,Delhi,5,2025-06-03,4.1,Active,True
12,MetroPoint,contact@metropoint.com,9743111853,Warangal,Telangana,1,2020-01-14,3.8,Active,True
13,BlueMart,contact@bluemart.com,9885879795,Jaipur,Rajasthan,9,2024-05-11,4.4,Active,True
14,GreenSupplies,sales@greensupplies.com,9679064766,Madurai,Tamil Nadu,5,2023-02-04,4.2,Active,True
15,ExpressRetail,hello@expressretail.com,9694768704,Madurai,Tamil Nadu,4,2015-05-01,5.0,Active,True
16,RoyalElectronics,info@royalelectronics.com,9330035022,Lucknow,Uttar Pradesh,10,2022-05-13,3.8,Active,True
17,NationalEssentials,info@nationalessentials.com,9541417711,Jaipur,Rajasthan,2,2019-11-26,3.5,Active,True
18,EliteSupplies,sales@elitesupplies.com,9399085574,Jaipur,Rajasthan,2,2021-07-20,5.0,Active,False
19,MetroEnterprises,sales@metroenterprises.com,9536383774,Jodhpur,Rajasthan,4,2024-03-01,4.5,Active,False
20,PremiumFashion,info@premiumfashion.com,9847959430,Kanpur,Uttar Pradesh,8,2019-08-31,4.5,Active,True
21,ExpressStore,contact@expressstore.com,9727255918,Jaipur,Rajasthan,1,2024-03-23,3.5,Active,False
22,SuperHub,hello@superhub.com,9364371717,Indore,Madhya Pradesh,10,2020-12-06,4.6,Active,True
23,ModernBazaar,sales@modernbazaar.com,9821221887,Surat,Gujarat,6,2024-03-15,4.8,Active,True
24,OmTraders,hello@omtraders.com,9384756779,New Delhi,Delhi,2,2025-01-13,4.7,Active,True
25,BrightPoint,contact@brightpoint.com,9817112652,Noida,Uttar Pradesh,2,2024-05-17,4.9,Active,True
