shipment_id,order_id,courier_partner,delivery_mode,shipment_date,estimated_delivery_date,actual_delivery_date,delivery_status,tracking_number,shipping_cost,shipping_distance_km,warehouse_location,delivery_city,delivery_attempts,delivery_rating,on_time_delivery,delay_reason
1,1,Ecom Express,Standard,03-01-2023 04:00,08-01-2023,08-01-2023,Delivered,TRKBDIVUZZPQK51,194.66,1748,Delhi Warehouse,Lucknow,1,5,TRUE,
2,2,Blue Dart,Standard,02-01-2023 01:00,06-01-2023,06-01-2023,Delivered,TRK30T9NT3W5UZB,115.39,1103,Pune Warehouse,Lucknow,1,1,TRUE,
3,3,Blue Dart,Next Day,02-01-2023 04:00,03-01-2023,03-01-2023,Delivered,TRKHJ7XVG0FN9XU,215.16,1475,Bengaluru Warehouse,Chennai,1,4,TRUE,
4,4,Blue Dart,Express,02-01-2023 06:00,05-01-2023,06-01-2023,Delivered,TRKO6QJIUJV6OH9,231.76,2064,Pune Warehouse,Hyderabad,1,4,FALSE,
5,5,Delhivery,Standard,01-01-2023 12:00,08-01-2023,08-01-2023,Delivered,TRK84AZYTJXEPQ8,120.8,1049,Ahmedabad Warehouse,Jaipur,2,4,TRUE,
6,6,XpressBees,Next Day,03-01-2023 04:00,04-01-2023,05-01-2023,Delivered,TRK1T2TALA753LC,146.61,1551,Hyderabad Warehouse,Pune,2,5,FALSE,
7,7,Ekart,Express,03-01-2023 12:00,05-01-2023,05-01-2023,Delivered,TRK5PHT0HL9XPSE,139.81,2181,Bengaluru Warehouse,Bengaluru,1,5,TRUE,
8,8,XpressBees,Standard,01-01-2023 00:00,05-01-2023,05-01-2023,Delivered,TRKCIYHE7UR23GD,52.36,1373,Delhi Warehouse,Mumbai,1,5,TRUE,
9,9,Ecom Express,Standard,03-01-2023 10:00,07-01-2023,06-01-2023,Delivered,TRKGQPKI7P5TB94,192.92,804,Delhi Warehouse,Hyderabad,2,4,TRUE,
10,10,Blue Dart,Standard,02-01-2023 03:00,09-01-2023,,In Transit,TRK72KZ02XRGHC0,74.57,1106,Mumbai Warehouse,Kolkata,0,,,
11,11,Delhivery,Express,01-01-2023 00:00,04-01-2023,05-01-2023,Delivered,TRKCGVYIE6IVWPV,219.07,2100,Bengaluru Warehouse,Mumbai,1,5,FALSE,
12,12,Ecom Express,Express,01-01-2023 04:00,04-01-2023,05-01-2023,Delivered,TRKAWUDTSEMCIKP,175.56,317,Ahmedabad Warehouse,Chennai,1,4,FALSE,
13,13,Ecom Express,Standard,03-01-2023 08:00,09-01-2023,,In Transit,TRK60FKHMY4SJ6B,61.75,492,Bengaluru Warehouse,Bengaluru,0,,,
14,14,Ecom Express,Standard,02-01-2023 00:00,06-01-2023,05-01-2023,Delivered,TRKTPAC56T4UFEL,67.47,1829,Chennai Warehouse,Pune,2,5,TRUE,
15,15,Blue Dart,Express,02-01-2023 12:00,05-01-2023,10-01-2023,Delayed,TRK5A0L7253J2D5,197.39,745,Hyderabad Warehouse,Pune,1,2,FALSE,Courier Issue
16,16,DTDC,Standard,01-01-2023 03:00,05-01-2023,05-01-2023,Delivered,TRKMSY4LA5JU9BV,123.68,1163,Chennai Warehouse,Delhi,1,5,TRUE,
17,17,XpressBees,Same Day,02-01-2023 06:00,02-01-2023,02-01-2023,Delivered,TRKS3Y70HP87WXE,79.92,26,Mumbai Warehouse,Kolkata,1,4,TRUE,
18,18,DTDC,Standard,03-01-2023 08:00,08-01-2023,08-01-2023,Delivered,TRKKTAKPUXQPHR6,179.64,2351,Kolkata Warehouse,Pune,1,5,TRUE,
19,19,Ecom Express,Standard,03-01-2023 01:00,08-01-2023,07-01-2023,Delivered,TRKB9W1Q5UZNOFY,87.17,120,Hyderabad Warehouse,Pune,1,5,TRUE,
20,20,Ecom Express,Standard,02-01-2023 08:00,07-01-2023,,In Transit,TRK9V86WZS3T60R,65.49,2195,Bengaluru Warehouse,Ahmedabad,0,,,
21,21,DTDC,Express,04-01-2023 04:00,07-01-2023,07-01-2023,Delivered,TRKJLTEIYZCOTOH,97.67,980,Delhi Warehouse,Bengaluru,1,4,TRUE,
22,22,Ecom Express,Standard,04-01-2023 06:00,11-01-2023,11-01-2023,Delivered,TRK0TVHHPBMYOFQ,113.87,2224,Kolkata Warehouse,Kolkata,3,5,TRUE,
23,23,Ekart,Standard,04-01-2023 00:00,08-01-2023,08-01-2023,Delivered,TRKJLQM5K8P4Q0B,68.5,225,Ahmedabad Warehouse,Pune,1,5,TRUE,
24,24,Ecom Express,Standard,02-01-2023 03:00,07-01-2023,06-01-2023,Delivered,TRKYUHZ1GV0E38D,170.48,1959,Hyderabad Warehouse,Pune,2,5,TRUE,
25,25,Ekart,Standard,04-01-2023 03:00,08-01-2023,07-01-2023,Delivered,TRK4VE92MPNSM43,214.42,1255,Hyderabad Warehouse,Delhi,1,5,TRUE,
